year,state,month,number,date
2000,Ceara,Outubro,875,2000-10-01
2000,Ceara,Novembro,669,2000-11-01
2000,Ceara,Dezembro,389,2000-12-01
2000,Maranhao,Janeiro,19,2000-01-01
2000,Maranhao,Fevereiro,11,2000-02-01
2000,Maranhao,Mar�o,6,2000-03-01
2000,Maranhao,Abril,6,2000-04-01
2000,Maranhao,Maio,28,2000-05-01
2000,Maranhao,Junho,94,2000-06-01
2000,Maranhao,Julho,233,2000-07-01
2000,Maranhao,Agosto,839,2000-08-01
2000,Maranhao,Setembro,1365,2000-09-01
2000,Maranhao,Outubro,2654,2000-10-01
2000,Maranhao,Novembro,2267,2000-11-01
2000,Maranhao,Dezembro,1461,2000-12-01
2000,Paraiba,Janeiro,0,2000-01-01
2000,Paraiba,Fevereiro,11,2000-02-01
2000,Paraiba,Mar�o,5,2000-03-01
2000,Paraiba,Abril,1,2000-04-01
2000,Paraiba,Maio,0,2000-05-01
2000,Paraiba,Junho,2,2000-06-01
2000,Paraiba,Julho,0,2000-07-01
2000,Paraiba,Agosto,7,2000-08-01
2000,Paraiba,Setembro,9,2000-09-01
2000,Paraiba,Outubro,125,2000-10-01
2000,Paraiba,Novembro,65,2000-11-01
2000,Paraiba,Dezembro,34,2000-12-01
2000,Pernambuco,Janeiro,3,2000-01-01
2000,Pernambuco,Fevereiro,4,2000-02-01
2000,Pernambuco,Mar�o,14,2000-03-01
2000,Pernambuco,Abril,1,2000-04-01
2000,Pernambuco,Maio,7,2000-05-01
2000,Pernambuco,Junho,4,2000-06-01
2000,Pernambuco,Julho,0,2000-07-01
2000,Pernambuco,Agosto,31,2000-08-01
2000,Pernambuco,Setembro,130,2000-09-01
2000,Pernambuco,Outubro,411,2000-10-01
2000,Pernambuco,Novembro,64,2000-11-01
2000,Pernambuco,Dezembro,22,2000-12-01
2000,Piaui,Janeiro,5,2000-01-01
2000,Piaui,Fevereiro,12,2000-02-01
2000,Piaui,Mar�o,14,2000-03-01
2000,Piaui,Abril,15,2000-04-01
2000,Piaui,Maio,25,2000-05-01
2000,Piaui,Junho,18,2000-06-01
2000,Piaui,Julho,75,2000-07-01
2000,Piaui,Agosto,415,2000-08-01
2000,Piaui,Setembro,1099,2000-09-01
2000,Piaui,Outubro,2558,2000-10-01
2000,Piaui,Novembro,450,2000-11-01
2000,Piaui,Dezembro,79,2000-12-01
2000,Sergipe,Janeiro,1,2000-01-01
2000,Sergipe,Fevereiro,6,2000-02-01
2000,Sergipe,Mar�o,6,2000-03-01
2000,Sergipe,Abril,1,2000-04-01
2000,Sergipe,Maio,0,2000-05-01
2000,Sergipe,Junho,0,2000-06-01
2000,Sergipe,Julho,0,2000-07-01
2000,Sergipe,Agosto,0,2000-08-01
2000,Sergipe,Setembro,0,2000-09-01
2000,Sergipe,Outubro,3,2000-10-01
2000,Sergipe,Novembro,0,2000-11-01
2000,Sergipe,Dezembro,0,2000-12-01
2001,Alagoas,Janeiro,5,2001-01-01
2001,Alagoas,Fevereiro,4,2001-02-01
2001,Alagoas,Mar�o,0,2001-03-01
2001,Alagoas,Abril,0,2001-04-01
2001,Alagoas,Maio,2,2001-05-01
2001,Alagoas,Junho,2,2001-06-01
2001,Alagoas,Julho,0,2001-07-01
2001,Alagoas,Agosto,1,2001-08-01
2001,Alagoas,Setembro,5,2001-09-01
2001,Alagoas,Outubro,15,2001-10-01
2001,Alagoas,Novembro,22,2001-11-01
2001,Alagoas,Dezembro,30,2001-12-01
2001,Bahia,Janeiro,24,2001-01-01
2001,Bahia,Fevereiro,101,2001-02-01
